"Refs","Value","Footprint","Qty","DNP"
"C1","100nF","kicad_libraries:G-188_MUR","1",""
"C2","100uF","Capacitor_SMD:CP_Elec_6.3x5.4","1",""
"C4","100nF","kicad_libraries:G-188_MUR","1",""
"C5","100nF","kicad_libraries:G-188_MUR","1",""
"C6","100nF","kicad_libraries:G-188_MUR","1",""
"C7","100µF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1",""
"C8","100nF","kicad_libraries:G-188_MUR","1",""
"C9","47uF, 50V","Capacitor_SMD:CP_Elec_8x10","1",""
"D1","BZX84C5V1LT1G","BZX84C5V1LT1G:SOT95P240X111-3N","1",""
"D2","BZX84C5V1LT1G","BZX84C5V1LT1G:SOT95P240X111-3N","1",""
"F1","MF-MSMF050-2","Fuse:Fuse_1812_4532Metric_Pad1.30x3.40mm_HandSolder","1",""
"Q1","AO3401A","Package_TO_SOT_SMD:SOT-23","1",""
"R1","100k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R2","10k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
