Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","G-188_MUR",106.350000,-86.610000,0.000000,top
"C2","100uF","CP_Elec_6.3x5.4",110.140000,-78.120000,0.000000,top
"C4","100nF","G-188_MUR",106.380000,-84.870000,0.000000,top
"C5","100nF","G-188_MUR",144.580000,-77.560000,180.000000,top
"C6","100nF","G-188_MUR",119.790000,-90.340000,180.000000,top
"C7","100µF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",119.470000,-92.060000,180.000000,top
"C8","100nF","G-188_MUR",106.370000,-97.276100,-90.000000,top
"C9","47uF, 50V","CP_Elec_8x10",124.702500,-112.430000,0.000000,top
"D1","BZX84C5V1LT1G","SOT95P240X111-3N",115.570000,-93.117500,-90.000000,top
"D2","BZX84C5V1LT1G","SOT95P240X111-3N",108.780000,-97.450000,-90.000000,top
"F1","MF-MSMF050-2","Fuse_1812_4532Metric_Pad1.30x3.40mm_HandSolder",102.000000,-94.000000,180.000000,top
"J1","VIN 7-36V","TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm",109.340000,-112.495000,0.000000,top
"J2","Serial","PinHeader_1x03_P2.54mm_Vertical",147.910000,-68.310000,180.000000,top
"J3","FRONT HP LED","PinHeader_1x03_P2.54mm_Vertical",132.680000,-68.330000,180.000000,top
"J4","BACK HP LED","PinHeader_1x03_P2.54mm_Vertical",135.180000,-68.330000,180.000000,top
"J5","TOP HP LED","PinHeader_1x03_P2.54mm_Vertical",137.680000,-68.330000,180.000000,top
"J6","I2C","PinHeader_1x04_P2.54mm_Vertical",136.890000,-115.150000,90.000000,top
"J7","I2C","PinHeader_1x04_P2.54mm_Vertical",136.890000,-112.620000,90.000000,top
"J8","VIN_5V","TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm",101.250000,-100.250000,-90.000000,top
"J9","AUX_D10","PinHeader_1x03_P2.54mm_Vertical",152.030000,-105.550000,90.000000,top
"J10","AUX_D11","PinHeader_1x03_P2.54mm_Vertical",152.020000,-103.010000,90.000000,top
"J11","AUX_D12","PinHeader_1x03_P2.54mm_Vertical",152.030000,-100.460000,90.000000,top
"J12","AUX_D13","PinHeader_1x03_P2.54mm_Vertical",152.020000,-97.920000,90.000000,top
"J13","AUX_A0","PinHeader_1x03_P2.54mm_Vertical",152.100000,-93.570000,90.000000,top
"J14","AUX_A1","PinHeader_1x03_P2.54mm_Vertical",152.100000,-91.020000,90.000000,top
"J15","AUX_A2","PinHeader_1x03_P2.54mm_Vertical",152.100000,-88.470000,90.000000,top
"J16","AUX_A3","PinHeader_1x03_P2.54mm_Vertical",152.110000,-85.930000,90.000000,top
"Q1","AO3401A","SOT-23",111.750000,-94.500000,180.000000,top
"R1","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",117.660000,-97.210000,-90.000000,top
"R2","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",115.530000,-97.200000,-90.000000,top
"U1","ARDUINO_PRO_MINI","MODULE_ARDUINO_PRO_MINI",140.380000,-90.260000,0.000000,top
"U2","Pololu_Micro_Maestro_6","Module_Pololu_Micro_Maestro_6_Mechanical",113.300000,-77.255000,180.000000,top
"U3","Pololu_D24V50F5_5","Converter_DCDC_Pololu_D24V50F5",116.970000,-98.000000,180.000000,top
