Designator,Mid X,Mid Y,Layer,Rotation
C1,106.350000,-86.610000,Top,0.000000
C2,110.140000,-78.120000,Top,0.000000
C4,106.380000,-84.870000,Top,0.000000
C5,144.580000,-77.560000,Top,180.000000
C6,119.790000,-90.340000,Top,180.000000
C7,119.470000,-92.060000,Top,180.000000
C8,106.370000,-97.276100,Top,-90.000000
C9,124.702500,-112.430000,Top,0.000000
D1,115.570000,-93.117500,Top,90.000000
D2,108.780000,-97.450000,Top,90.000000
F1,102.000000,-94.000000,Top,180.000000
Q1,111.750000,-94.500000,Top,180.000000
R1,117.660000,-97.210000,Top,-90.000000
R2,115.530000,-97.200000,Top,-90.000000
